reference,subtype,gene,donors,effect,positive_fraction,p,loo_min,q
nonmidget,HRGC11,CHRNB2,8,-0.18626636932044108,0.375,0.5754030229127536,-0.40422204284229984,0.6337354945722443
nonmidget,HRGC11,GLDN,8,0.26816273196614177,0.75,0.4838398513935682,-0.0789268083401595,0.5479782100725097
nonmidget,HRGC11,DLGAP1,8,0.49165004067765694,0.75,0.03569190011680441,0.43394243880404637,0.059826423052929296
nonmidget,HRGC11,DTX3L,8,-0.6231746837680996,0.125,0.07473549830588248,-0.7670677011728151,0.11358763127664348
nonmidget,HRGC11,LPAR1,8,0.4151782909921256,0.5,0.6744240722352938,0.04181627400801239,0.7211338803973979
nonmidget,HRGC11,PDLIM5,8,0.6443065319498736,0.875,0.017290280592906247,0.5829390354384891,0.031898211576011526
nonmidget,HRGC11,KIAA1217,8,-1.948214694784716,0.125,0.017290280592906247,-2.2630868482633972,0.031898211576011526
nonmidget,HRGC11,FGF18,8,-0.8985745389514773,0.125,0.09289194088370531,-1.2446076064312999,0.13715588586855817
nonmidget,HRGC11,MAN1A2,8,-0.15132071241210698,0.375,0.4838398513935682,-0.2472563017150017,0.5479782100725097
nonmidget,HRGC11,IGF1,8,-1.6757009064509152,0.0,0.011718685599768632,-1.8681691793896487,0.023122070241695956
nonmidget,HRGC11,IGFBP5,8,-2.761842445442972,0.0,0.011718685599768632,-2.9977305968574974,0.023122070241695956
nonmidget,HRGC11,IL1RAPL2,8,1.8941718810191843,1.0,0.011718685599768632,1.606489794668287,0.023122070241695956
nonmidget,HRGC11,IRX1,8,0.13764910289596347,0.625,0.32698934959801507,-0.03899323847688474,0.40132584051081344
nonmidget,HRGC11,SLC16A2,8,-0.8161643225825423,0.25,0.0687035743228782,-1.033827104169989,0.1055133427646297
nonmidget,HRGC11,OPN4,8,-0.8816834486814233,0.125,0.12348527214454895,-1.3079143973310632,0.17409782220613645
nonmidget,HRGC11,OSTF1,8,0.1394216703527279,0.625,0.4838398513935682,-0.11168304242932374,0.5479782100725097
nonmidget,HRGC11,KSR1,8,0.2439145938071976,0.75,0.16142946236708322,0.18013014814153674,0.21821494144859177
nonmidget,HRGC11,SLC7A8,8,-0.8604395712282462,0.0,0.011718685599768632,-0.9186570803569324,0.023122070241695956
nonmidget,HRGC11,KCNC4,8,0.4528974435887055,0.75,0.03569190011680441,0.39210183339261784,0.059826423052929296
nonmidget,HRGC11,PLEKHA2,8,-2.2741859211329962,0.0,0.011718685599768632,-2.5285810199956034,0.023122070241695956
nonmidget,HRGC11,TMEM200A,8,1.2390644779331104,0.75,0.04994997645474642,0.9845747836852111,0.08035828021970173
nonmidget,HRGC11,SRPX2,8,-0.04344429146630127,0.0,0.10880943004054569,-0.049650618818630025,0.1587931980691214
nonmidget,HRGC11,TGFBR3,8,-0.6544680042587447,0.375,0.09289194088370531,-0.7917749684576156,0.13715588586855817
nonmidget,HRGC11,SLC44A5,8,1.6704943708478954,0.875,0.025061844343883612,1.4885578943695355,0.04410884604523516
nonmidget,HRGC11,SDK1,8,-1.5153833305741569,0.0,0.011718685599768632,-1.6129207005324537,0.023122070241695956
nonmidget,HRGC11,CAV2,8,-0.44572374423375616,0.375,0.20757844233562428,-0.5989955426602636,0.27427782170472875
nonmidget,HRGC11,TMEM144,8,-0.5394613522405656,0.25,0.0687035743228782,-0.6706218225757998,0.1055133427646297
nonmidget,HRGC11,RBMS3,8,-0.3855788341994033,0.25,0.09289194088370531,-0.492841957061748,0.13715588586855817
nonmidget,HRGC11,VAT1L,8,-0.3163191851658078,0.25,0.16142946236708322,-0.5066114622972648,0.21821494144859177
nonmidget,HRGC11,HFE,8,-0.19474382761778308,0.0,0.10880943004054569,-0.22256437442032354,0.1587931980691214
nonmidget,HRGC11,BRINP1,8,0.03230231431914099,0.375,0.779434528427275,-0.053113285884215725,0.8088471521415117
nonmidget,HRGC11,PARM1,8,0.2140836546156739,0.75,0.12348527214454895,0.11790556814637185,0.17409782220613645
nonmidget,HRGC11,VEGFC,8,-0.6131191577930987,0.25,0.16142946236708322,-0.9521334738711694,0.21821494144859177
nonmidget,HRGC11,ITGA7,8,-0.34875336755021513,0.375,0.20757844233562428,-0.48341678253565673,0.27427782170472875
nonmidget,HRGC11,PTPRT,8,-3.3270897080620596,0.0,0.011718685599768632,-3.778489033503671,0.023122070241695956
nonmidget,HRGC11,SHROOM3,8,1.021807256875479,0.625,0.12348527214454895,0.6471186311251999,0.17409782220613645
