reference,subtype,donor,study,score
all,PG_OFF,BCM_22_0784,Chen_ancestry,0.10360509390999745
all,PG_OFF,BCM_23_0334,Chen_ancestry,-0.11989397797523788
all,PG_OFF,BCM_23_0358,Chen_ancestry,0.19817659449906377
all,PG_OFF,Chen_19_D007,Chen_rgc,-0.05484201142619416
all,PG_OFF,Chen_19_D011,Chen_rgc,0.24666375508114677
all,PG_OFF,Chen_D013_13,Chen_c_GSE247157,0.1222482524328643
all,PG_OFF,Hu0218,Shekhar_GSE237204,-0.12012659533046294
all,PG_OFF,Hu0220,Shekhar_GSE237204,0.010794845090122074
all,PG_OFF,Hu0355,Shekhar_GSE237204,0.24461942654227709
all,PG_OFF,Hu0564,Shekhar_GSE237204,-0.2156262158637075
all,PG_OFF,Hu0887,Shekhar_GSE237204,0.11160974847952343
all,PG_OFF,Hu1059,Shekhar_GSE237204,0.3147879495149718
all,PG_OFF,MMD_22_02443,Chen_ancestry,-0.06021097819365323
all,PG_OFF,MMD_22_13066,Chen_ancestry,0.008271858019194556
all,PG_OFF,MMD_22_14307,Chen_ancestry,-0.2565567061240543
all,PG_OFF,MMD_22_16477,Chen_ancestry,-0.05105851363765557
all,PG_OFF,MMD_22_16860,Chen_ancestry,-0.2050252195052522
all,PG_OFF,MMD_22_17017,Chen_ancestry,-0.2767452056961204
all,PG_OFF,MMD_22_17464,Chen_ancestry,-0.1373725465197268
all,PG_OFF,MMD_22_17939,Chen_ancestry,-0.1983572777367264
all,PG_OFF,MMD_22_18633,Chen_ancestry,-0.29911406774034704
all,PG_OFF,MMD_22_20137,Chen_ancestry,-0.05447241965117988
all,PG_OFF,MMD_22_20357,Chen_ancestry,-0.34562509919472306
all,PG_OFF,MMD_22_20372,Chen_ancestry,-0.0321197083901556
all,PG_OFF,MMD_22_21878,Chen_ancestry,-0.3413943064258343
all,PG_OFF,MMD_22_32888,Chen_ancestry,-0.10162023336413173
all,PG_OFF,MMD_22_33472,Chen_ancestry,-0.1900470543789987
all,PG_OFF,MMD_22_37089,Chen_ancestry,-0.14313784761526466
all,PG_OFF,MMD_22_37117,Chen_ancestry,-0.2521410002308801
all,PG_OFF,MMD_22_38453,Chen_ancestry,0.020481953939849862
all,PG_ON,BCM_22_0183,Chen_ancestry,0.23466108968788194
all,PG_ON,BCM_22_0200,Chen_ancestry,0.3834393870397708
