type,mouse,strata,control_cells,injured_cells,injury_difference
6,Vegfc,2,178,462,1.2277259408026642
6,Itga7,2,178,462,1.3033131535261817
6,Shroom3,2,178,462,0.586839162950257
6,Ddx60,2,178,462,1.269842882689026
6,Kbtbd11,2,178,462,-0.18832657906024886
7,Opn4,2,372,416,-2.5110152389123663
7,Rasgrp1,2,372,416,-1.8684151640416928
7,Prkcq,2,372,416,-2.811008399588034
7,Gldn,2,372,416,1.5197297610128464
7,Ndnf,2,372,416,-1.223497913899532
7,Ctxn3,2,372,416,-4.4117263680728325
7,Gdf6,2,372,416,-0.08503874561041985
7,Eomes,2,372,416,-2.5169012441746776
7,Ifitm10,2,372,416,1.811016289947064
7,Igf1,2,372,416,-2.0165070441411634
7,Cd24a,2,372,416,4.006781950879786
7,Man1a,2,372,416,-0.12714633541354337
7,Vat1l,2,372,416,-3.1405477548949268
7,Tbx20,2,372,416,-3.1255180569199723
7,Ptprt,2,372,416,-1.4494762632997384
7,Tmem255b,2,372,416,0.10880019733079682
7,Dmrtb1,2,372,416,-3.678287634807596
7,Parm1,2,372,416,-3.6595756325934343
7,Dgkg,2,372,416,0.803950510324101
7,Prph,2,372,416,-4.750203735487437
7,Plekha2,2,372,416,-0.016727671197363514
7,Nppb,2,372,416,-2.570830864312451
7,Vim,2,372,416,4.601183672696261
7,Enpp2,2,372,416,-0.828183194099088
7,Igfbp2,2,372,416,0.3340523610821705
7,Rgs10,2,372,416,-0.9636181347031578
7,Mgll,2,372,416,-3.7686414932927397
7,Phgdh,2,372,416,4.970836857866232
7,Mei4,2,372,416,0.04684064513566755
7,Lmo1,2,372,416,1.983389307884265
7,Myo1b,2,372,416,-1.408867360124196
7,Pdzd2,2,372,416,-0.30367656994689285
7,Lamb1,2,372,416,-4.369648748689706
7,Rbpms2,2,372,416,-3.3139113338986563
7,Nell2,2,372,416,-1.1954241187758479
7,Plch2,2,372,416,-1.706865382663326
7,Lrrc7,2,372,416,0.8279625096676577
7,Calb2,2,372,416,-3.6871727218807644
7,Hpcal1,2,372,416,-1.555785259310544
7,Rxrg,2,372,416,-1.2642699339323182
7,Kcnj5,2,372,416,-1.741967155443229
7,Alcam,2,372,416,-1.1826769940231474
7,Nfe2l2,2,372,416,0.06582253796282611
7,Ptn,2,372,416,-0.736383704338246
7,Bcl11b,2,372,416,-1.0193868530800663
7,Aldh2,2,372,416,-1.1009294738437019
7,Klc3,2,372,416,-0.8746613841081494
7,Crtac1,2,372,416,-2.9022907395684476
7,Neurod1,2,372,416,0.0
7,Dpysl4,2,372,416,-0.15300725833303908
7,Gnai1,2,372,416,-2.5810778618098955
7,Chrnb2,2,372,416,-1.6579206450275528
7,Dlgap1,2,372,416,-0.3364679090558691
7,Dtx3l,2,372,416,-0.6961281061558484
7,Lpar1,2,372,416,-0.5428212322863532
7,Pdlim5,2,372,416,2.45421254170093
7,Etl4,2,372,416,-2.5584337057002218
7,Fgf18,2,372,416,-1.1223816577926238
7,Man1a2,2,372,416,-0.3578484999743319
7,Igfbp5,2,372,416,-1.4909362983575398
7,Il1rapl2,2,372,416,0.23276713280435757
7,Irx1,2,372,416,-0.05510691717252453
7,Slc16a2,2,372,416,1.780691103206092
7,Ostf1,2,372,416,0.11962319061476112
7,Ksr1,2,372,416,-1.6763929935124868
7,Slc7a8,2,372,416,0.02112954943836498
7,Kcnc4,2,372,416,-2.701658796933795
7,Tmem200a,2,372,416,-2.064721389872859
7,Srpx2,2,372,416,0.049224970981439076
7,Tgfbr3,2,372,416,-0.0376853415146412
7,Slc44a5,2,372,416,0.721049768776801
7,Sdk1,2,372,416,-0.1978433390583747
7,Cav2,2,372,416,0.9479924119282626
