mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Slc25a36,SLC25A36,0.42829571415569845,0.08027362112239,0.8646616541353384,0.002510889474350685,0.056654797048530915,0.3920644984752215,0.4786367956662927
Dmtf1,DMTF1,0.2591234823172819,-0.18765189757283895,0.8308270676691729,0.006140572194144666,0.07487341794367006,0.2244750566026097,0.29047525557373444
Snx7,SNX7,0.49146085471692036,0.2879805283572816,0.7030075187969925,0.09385111744605337,0.26651999256419273,0.46204551769365176,0.5064292678087599
Slc25a24,SLC25A24,-0.11783080649540434,-0.6308973196078911,0.42105263157894735,0.520883048117011,0.7114764295485994,-0.3241987773673052,0.10887466344981034
Notum,NOTUM,-0.2730158149223866,-0.06131536125130177,0.38533834586466165,0.34013701118634787,0.5575271907749221,-0.30408693758255523,-0.23204317174773895
Cpsf2,CPSF2,-0.03766791560476879,-0.0831895647150791,0.41353383458646614,0.481048323333079,0.6825239739973527,-0.09408270721809053,0.04310013962483783
Galm,GALM,-0.16973066887522392,0.27976566507900436,0.41729323308270677,0.5006146083544537,0.6969396552570326,-0.22942244405865742,-0.13037687106080997
Slc25a40,SLC25A40,0.07998050065348128,0.00285539725993722,0.5789473684210527,0.520883048117011,0.7114764295485994,-0.02616959022174825,0.17085806080735377
Lhfpl3,LHFPL3,-0.15230761543215543,-0.29612119713967733,0.4473684210526316,0.6724627258209575,0.8196809106945623,-0.22631455289543112,-0.11123225426033923
Ache,ACHE,0.6038057305170383,0.6806310473977213,0.8007518796992481,0.012786952522166564,0.09617338230308306,0.5503986087828441,0.6518409171330708
Ica1,ICA1,-0.08944567892535371,-0.008248124345024976,0.38721804511278196,0.3555738985646425,0.5727437082590845,-0.11645569959221014,-0.07171717421711321
Srp68,SRP68,-0.1943084920227447,0.007240477162381076,0.3233082706766917,0.14533473101499367,0.3405168052667221,-0.21243479746383898,-0.17756853517412097
Wipi2,WIPI2,0.16932815545424962,0.38681232911935304,0.8007518796992481,0.012786952522166564,0.09617338230308306,0.13520832955689954,0.23653443937682983
Cox20,COX20,-0.16469971327122224,-0.26224227171382086,0.2781954887218045,0.06695061263751578,0.22123413980722303,-0.20660916143078012,-0.12404481151456714
Pxmp2,PXMP2,0.1620142159073219,0.42025512536290033,0.6127819548872181,0.3555738985646425,0.5727437082590845,-0.021290307672186204,0.39193991953794427
Fundc1,FUNDC1,0.018514256026742615,0.15648196199520736,0.5263157894736842,0.83870035648056,0.9164899991714484,-0.009090247705245247,0.06979263021956328
Ophn1,OPHN1,-0.09036412961857998,-0.2417646147904282,0.3684210526315789,0.2799581070148759,0.49830312306759345,-0.15331330070748983,-0.023230660659502078
Pde6d,PDE6D,-0.2501447145167619,-0.15147241019614377,0.16165413533834586,0.005065923476836049,0.07037475038903213,-0.2666648350837688,-0.23075796377570246
Snrnp27,SNRNP27,-0.23737362078962665,-0.10150585036256032,0.31954887218045114,0.1368760019470291,0.3284847584328251,-0.29621966804701483,-0.18314902270795663
Crebl2,CREBL2,0.25084989584247186,0.27743945608441134,0.793233082706767,0.015223595716467662,0.10374151345773479,0.1974835010923437,0.31419646978567606
Zfp706,ZNF706,-0.20622463966063798,-0.22399813057112627,0.21804511278195488,0.01964464300443887,0.11639841788677864,-0.21205393370433878,-0.20302058449827065
Nubpl,NUBPL,-0.10093804883147994,0.19394858936853643,0.34210526315789475,0.19372857407322464,0.40211009920532353,-0.17923847162890505,-0.01729978796886744
Dpy30,DPY30,-0.13146581923880163,-0.05928166573551863,0.2819548872180451,0.07175189797548275,0.2297582994518827,-0.14128651390714975,-0.12037504998801829
Hat1,HAT1,-0.2292583252786491,-0.32493935487375936,0.16917293233082706,0.006140572194144666,0.07487341794367006,-0.2976392309941538,-0.18389941791751863
Dnajc9,DNAJC9,-0.21633292673106563,-0.1671273197302927,0.29699248120300753,0.09385111744605337,0.26651999256419273,-0.22664130607045507,-0.19599277833077888
Rgs20,RGS20,-0.2178163570675533,-0.4311525279289308,0.41353383458646614,0.481048323333079,0.6825239739973527,-0.44946930466177815,-0.08972583856285432
Mrpl43,MRPL43,-0.06363861248354574,0.11160625488360676,0.30451127819548873,0.10678990056200999,0.2870605052652442,-0.09201028266260725,-0.025596778826543876
Haus4,HAUS4,-0.00544739506587355,0.12391412836313886,0.4548872180451128,0.7187440727245344,0.8494870421439498,-0.1602828851093685,0.13051233780965665
Gapvd1,GAPVD1,0.30192391605865954,0.4835089446210983,0.8270676691729323,0.006751426870487882,0.07710295165284167,0.2573291678636753,0.3367147319569561
Mrps26,MRPS26,-0.04964777412720078,0.03017254709250139,0.41729323308270677,0.5007557286630573,0.6969396552570326,-0.06855341220557243,-0.025921298405535254
Epdr1,EPDR1,0.18172663146270196,0.05644339147169308,0.6165413533834586,0.33950279404506545,0.5565693096564415,0.1693616585297404,0.19040429760875632
Zfyve19,ZFYVE19,-0.27299266755335694,0.025292142837226805,0.19172932330827067,0.010702014793461972,0.08880446005065139,-0.31728923648953256,-0.2191661322739371
Mrpl24,MRPL24,-0.26090097910441123,-0.11263984461925158,0.15037593984962405,0.003770372170280916,0.06478659503056546,-0.3022945362656069,-0.21116125326693247
Mpc1,MPC1,-0.393354251711612,0.209668997210815,0.15413533834586465,0.004164244190646533,0.06672947398182372,-0.49132744854116694,-0.23132004895772695
Gng7,GNG7,-0.2652481425920574,-0.17987644040747486,0.24436090225563908,0.03452787486650697,0.1548762387084403,-0.42593788701927426,-0.1630584181448822
B9d2,B9D2,-0.15416878148645452,-0.28477972179333566,0.3458646616541353,0.2046867508553436,0.4155874059813366,-0.1988969953954145,-0.11805991043203523
Psma6,PSMA6,-0.20317135829540778,0.025562962221870933,0.19924812030075187,0.012786952522166564,0.09617338230308306,-0.2384368736882898,-0.1849140795252291
Sec63,SEC63,0.36931714962574436,0.2755958767677953,0.7894736842105263,0.016588688591620444,0.10740815239409203,0.2189940417029943,0.4707400587879764
Psma1,PSMA1,-0.3145463571665301,-0.19246574235091796,0.16917293233082706,0.006140572194144666,0.07487341794367006,-0.3813569458484638,-0.27239697655192074
Pmepa1,PMEPA1,0.4810909482038346,0.771290076300998,0.7293233082706767,0.058140365266868194,0.2045259022568979,0.43164010617870074,0.5231181830036395
Rab10,RAB10,-0.029991255137205464,-0.10537184869447191,0.39849624060150374,0.40660505129530145,0.62057554221334,-0.12269547626374777,0.05931654463975189
Pigh,PIGH,0.010087079919599784,-0.22224266323820174,0.5150375939849624,0.9127209303746625,0.9552267683053416,-0.07683055991664078,0.10067777605337369
Celf4,CELF4,0.01369347810046051,0.008341626109167777,0.5375939849624061,0.7660808735671761,0.8755993938673546,-0.006522331319114727,0.03375030124342793
Slc25a46,SLC25A46,-0.044428968589363294,-0.19246300653731385,0.38345864661654133,0.33950279404506545,0.5565693096564415,-0.05357320963214818,-0.03861529759590265
Mrpl11,MRPL11,-0.10098488056134158,0.10252373004357285,0.34210526315789475,0.19372857407322464,0.40211009920532353,-0.1087335278272965,-0.09276901540978422
Polr3k,POLR3K,-0.19416704469713952,-0.001709840714583244,0.34210526315789475,0.19372857407322464,0.40211009920532353,-0.24069460941947174,-0.14635098857754603
Nsmce1,NSMCE1,-0.39796838706832194,-0.097101697640948,0.424812030075188,0.5414190808064263,0.7260307015880628,-0.53870829622484,-0.28814846172564135
Pir,PIR,-0.30090855976815334,-0.17037925132001597,0.23308270676691728,0.027258119924963804,0.13726147044270548,-0.3881854152536688,-0.20154895718947063
Taf11,TAF11,-0.11293859991741595,-0.12845117437170206,0.34210526315789475,0.19372857407322464,0.40211009920532353,-0.12519286455844725,-0.08991234563429717
Psmf1,PSMF1,-0.09053297499544133,0.1728239154149218,0.3082706766917293,0.11376952397177288,0.2980745515460313,-0.1383319713653801,-0.06463561853653044
Polr2f,POLR2F,-0.09653006037087497,-0.22513465284197398,0.3383458646616541,0.18320740145534176,0.39177550581173887,-0.14183022756667363,-0.05001636614502036
Ap3s2,AP3S2,-0.0002796159367086659,0.12289731578033436,0.47368421052631576,0.83870035648056,0.9164899991714484,-0.037603673739383225,0.038273309262535804
Parp6,PARP6,-0.08540685472358245,-0.24920032186232,0.2706766917293233,0.058140365266868194,0.2045259022568979,-0.13994302930222968,-0.023577496508812246
Fam204a,FAM204A,0.017817400847900622,-0.1771231909629698,0.44360902255639095,0.649766343314734,0.8035031320285944,-0.0183140997969522,0.04009564512563024
Abhd3,ABHD3,0.21849718230786852,-0.02741358563045626,0.5375939849624061,0.7660808735671761,0.8755993938673546,0.1400214900390857,0.3061440595616962
Rwdd1,RWDD1,-0.09823372500654415,-0.159510726036018,0.2518796992481203,0.04024555166296232,0.16785009952338542,-0.1423029086174843,-0.06480753897532132
Rgs17,RGS17,0.5909836327386033,0.5760850944002875,0.7894736842105263,0.016588688591620444,0.10740815239409203,0.5364320177175408,0.6639147498833298
Cdc42ep3,CDC42EP3,-0.04969149697325026,-0.2205801511134311,0.4323308270676692,0.5836673142120434,0.7567889752071411,-0.13961148481536245,0.02578828174846315
Nkiras1,NKIRAS1,0.11048311274465394,0.05892166096624418,0.6541353383458647,0.2046867508553436,0.4155874059813366,0.08078730717045524,0.13260138784112918
Sec61g,SEC61G,-0.07715424084048728,-0.01292471875047152,0.5300751879699248,0.8143077020295144,0.9035369286675586,-0.09187605499006946,-0.06411577542845048
Dctn5,DCTN5,-0.11672428180914007,-0.1062189890136711,0.2669172932330827,0.05411006549598153,0.19685841092007092,-0.17195693990693695,-0.07689644612355462
Ndufa7,NDUFA7,0.060819616611384575,0.11379188652897465,0.6804511278195489,0.1368760019470291,0.3284847584328251,0.052101483153451866,0.07537739478129524
